title,summary,authors,publish_date,top_image,text,language,link,ilr_quantized,ilr_range,ilr_regressed,translated_summary
VW in der Krise: Hilft ein niedrigerer Strompreis?,"„Transformationsstrompreis“ : Operation Rettung der IndustrieZu teuer produziert?
Ein VW-Transporter durchläuft die Montage im Werk von Volkswagen Nutzfahrzeuge.
dpaDie SPD will kriselnde Unternehmen wie VW bei den Stromkosten entlasten.
Ökonomen mahnen: Die Politik solle sich besser raushalten.","Christian Geinitz, Wirtschaftskorrespondent In Berlin, Julia Löhr, Wirtschaftskorrespondentin In Berlin.",,https://media0.faz.net/ppmedia/aktuell/wirtschaft/4271546986/1.9973424/facebook_teaser_fplus/zu-teuer-produziert-ein-vw.jpg,"„Transformationsstrompreis“ : Operation Rettung der Industrie

Zu teuer produziert? Ein VW-Transporter durchläuft die Montage im Werk von Volkswagen Nutzfahrzeuge. dpa

Die SPD will kriselnde Unternehmen wie VW bei den Stromkosten entlasten. Ökonomen mahnen: Die Politik solle sich besser raushalten.",German,https://www.faz.net/aktuell/wirtschaft/mehr-wirtschaft/vw-in-der-krise-hilft-ein-niedrigerer-strompreis-19973473.html,1.5,"[1.3337442694257882, 1.777092884290353]",1.5554185768580706,"“Transformation electricity price”: Operation to save the industry. Is it too expensive to produce?

A VW Transporter is being assembled at the Volkswagen Nut plant"
Migration: AfD will mehr Abschottung und weniger Brandmauern,"Die AfD sieht sich von der Debatte um eine andere Migrationspolitik bestätigt.
Bernd Baumann, der erste parlamentarische Geschäftsführer der Bundestagsfraktion, sagte am Montag in Berlin: „Alle bedienen sich aus unserem Arsenal.“ Die Parteien der Bundesregierung und die CDU diskutierten Forderungen, die die AfD schon lange erhebe, etwa nach Zurückweisungen, Grenzkon­trollen und drastischen Kürzungen der Leistungen für Asylbewerber.
Um die eigenen Forderungen zu bündeln, hatte die AfD am Sonntag in einer Kurz-Klausur der Fraktion ein Positionspapier beschlossen, das die Kernforderungen der Partei bis zur Bundestagswahl zusammenfasst.
Dabei geht es vor allem um Migration.","Friederike Haupt, Politische Korrespondentin In Berlin.",,https://media0.faz.net/ppmedia/aktuell/politik/3711593518/1.9973276/facebook_teaser_fplus/bernd-baumann-erster.jpg,"Die AfD sieht sich von der Debatte um eine andere Migrationspolitik bestätigt. Bernd Baumann, der erste parlamentarische Geschäftsführer der Bundestagsfraktion, sagte am Montag in Berlin: „Alle bedienen sich aus unserem Arsenal.“ Die Parteien der Bundesregierung und die CDU diskutierten Forderungen, die die AfD schon lange erhebe, etwa nach Zurückweisungen, Grenzkon­trollen und drastischen Kürzungen der Leistungen für Asylbewerber. Um die eigenen Forderungen zu bündeln, hatte die AfD am Sonntag in einer Kurz-Klausur der Fraktion ein Positionspapier beschlossen, das die Kernforderungen der Partei bis zur Bundestagswahl zusammenfasst. Dabei geht es vor allem um Migration.",German,https://www.faz.net/aktuell/politik/inland/migration-afd-will-mehr-abschottung-und-weniger-brandmauern-19973145.html,1.5,"[0.8002403416178248, 2.6662660973036254]",1.733253219460725,"The AfD sees itself confirmed by the debate about a different migration policy.
Bernd Baumann, the first parliamentary secretary of the Bundestag"
"Apple stellt das iPhone 16, die Apple Watch Series 10 und die Airpods 4 vor","Teilen Merken DruckenApple hat am Montag in Kalifornien seine neue iPhone-Kollektion mit der Versionsnummer 16 und die Apple Watch 10 vorgestellt.
Wie im Vorjahr gibt es vier neue iPhones, eine Standardversion und eine Pro-Reihe.
Das iPhone 16 und 16 Plus kommen mit Bildschirmdiagonalen von 6,1 und 6,7 Zoll und einem Aluminiumgehäuse.
Das iPhone 16 und 16 Plus kommen mit Bildschirmdiagonalen von 6,1 und 6,7 Zoll und einem Aluminiumgehäuse.
Zum zehnjährigen Jubiläum eine Apple Watch Series 10Die Apple Watch feierte am Tag der Keynote ihr zehnjähriges Jubiläum.","Michael Spehr, Redakteur Im Ressort, Technik Und Motor .",,https://media1.faz.net/ppmedia/aktuell/2784667452/1.9974167/facebook_teaser/das-iphone-16-pro.jpg,"Das iPhone 16 erhält eine zusätzliche Taste und gibt der digitalen Fotografie das Analog-Gefühl zurück. Die Herbst-Neuheiten aus Kalifornien sind für Künstliche Intelligenz gerüstet und Siri wird endlich schlauer.

Teilen Merken Drucken

Apple hat am Montag in Kalifornien seine neue iPhone-Kollektion mit der Versionsnummer 16 und die Apple Watch 10 vorgestellt. Der Kopfhörer Airpods Max und die Airpods-Ohrhörer erhalten ein Update. Künstliche Intelligenz (KI) ist abermals ein wichtiges Thema für den Konzern.

Wie im Vorjahr gibt es vier neue iPhones, eine Standardversion und eine Pro-Reihe. Sie erhalten den neuen A18-Prozessor. Das iPhone 16 und 16 Plus kommen mit Bildschirmdiagonalen von 6,1 und 6,7 Zoll und einem Aluminiumgehäuse. Sie erhalten den neuen A18-Prozessor, um für Apples KI, Apple Intelligence genannt, gerüstet zu sein. Auch die Assistentin Siri soll deutlich besser arbeiten als ihre aktuelle Kollegin.

Das iPhone 16 und 16 Plus kommen mit Bildschirmdiagonalen von 6,1 und 6,7 Zoll und einem Aluminiumgehäuse. Hersteller

Die beiden Standardgeräte bekommen ferner die programmierbare Aktionstaste an der linken Gehäuseseite, die bislang den Pro-Modellen vorbehalten war. Ferner ist die Anordnung der rückseitigen Kameraaugen modifiziert, um besser für das Aufnehmen räumlicher Videos gerüstet zu sein. Diese Videos lassen sich mit Apples Computerbrille Vision Pro abspielen.

Kommt mit dem Prozessor A18 Pro Hersteller

Das iPhone 16 Pro und 16 Pro Max haben ein etwas größeres Display, das von 6,1 auf 6,3 Zoll in der kleineren Version und von 6,7 auf 6,9 Zoll beim Pro Max wächst. Auch sind die Ränder dünner, so dass das Gehäuse nur unmerklich wächst. Der neue Prozessor A18 Pro mit mehr Kernen sowie verbesserter neuronaler Maschine unterstütze Apple Intelligence bestmöglich, sagt das Unternehmen.

Bessere Kamera und räumliche Audioaufnahmen

Die Ultraweitwinkelkamera arbeitet nun mit 48 statt 12 Megapixel, und das 16 Pro hat nun auch den fünffachen Zoom, der bislang dem Pro-Max-Gerät vorbehalten war. Beide Pro-Modelle nehmen Videos in 4K mit bis zu 120 Bildern in der Sekunde auf, bislang waren es 60. Vier eingebaute Studiomikrofone sollen räumliche Audioaufnahmen erlauben.

Knopf für die Funktion „Camera Control“ Hersteller

Neu ist eine berührungsempfindliche Taste an der rechten Seite, die wie der Auslöser eines herkömmlichen Fotoapparats arbeitet: Mit leichtem Druck fixiert man den Autofokus, ein fester Druck schießt das Foto. Die Taste funktioniert kapazitiv, sie lässt sich also noch für andere Funktionen nutzen, wenn man mit dem Finger leicht über sie wischt, etwa für einen Zoom bei der Bildwiedergabe oder zum Start von KI-Funktionen. Man fotografiert ein Objekt, und die KI liefert Hintergrundinformationen.

Das iPhone 16 kommt mit zwei Kameramodulen. Hersteller

Die iPhone 16 haben 128 Gigabyte bis ein Terabyte Speicher und sind in mehreren Farben lieferbar. Wie gehabt besteht ihr Gehäuse aus Aluminium oder Titan. Die Preise beginnen bei 950 Euro und reichen bis 1950 Euro. Sie sind am 20. September im Handel.

Die Airpods 4 nun mit Nebengeräuschunterdrückung

Die Airpods Ohrhörer ohne den Zusatz Pro wurden 2021 vorgestellt und kommen nun als vierte Generation und sollen einen besseren Klang bieten. Telefonate kann man mit Kopfnicken annehmen oder Kopfschütteln ablehnen. Das Ladecase wurde verkleinert und lässt sich mit dem Ladegerät der Apple Watch betanken.

Das Gehäuse der Airpods 4 hat sich gegenüber dem Vorgänger geändert. Hersteller

Eine teurere Variante verfügt über eine Nebengeräuschunterdrückung wie bei den Airpods Pro und das zugehörige Gehäuse hat einen kleinen Lautsprecher zwecks Ortung in Apples Wo-ist-Netzwerk. Die Airpods 4 sind ab dem 20. September im Handel. Die Preise betragen 150 und 200 Euro.

Airpods Pro werden zum Hörgerät

Die seit längerem verfügbaren Airpods Pro erhalten neue Gesundheitsfunktionen rund ums Hören und einen Hörschutz. Apple nutzt dazu seine Erkenntnisse aus hauseigenen Hörstudien und bietet einen Hörtest als App an. Anschließend kann man personalisierte Hörprofile mit den Airpods Pro nutzen, die dann wie ein Hörgerät arbeiten.

Für alle Airpods-Produkte gab es ein Update. Hersteller

Der wuchtige Oberklasse-Kopfhörer Airpods Max kam 2020 in den Handel und wird jetzt durch eine Version 2 mit neuen Farben abgelöst. Der Lightning-Anschluss wird durch USB C ersetzt.

Zum zehnjährigen Jubiläum eine Apple Watch Series 10

Die Apple Watch feierte am Tag der Keynote ihr zehnjähriges Jubiläum. In Cupertino wurde am Montag eine neue Apple Watch Series 10 vorgestellt, die sowohl die dünnste Apple-Uhr ist wie auch die größte Oled-Anzeige hat und am schnellsten ihren Akku lädt. Ferner bietet sie genauere Sensoren, einen Tiefensensor für Schnorchler und leistungsfähigere Lautsprecher. Sie kostet zwischen 450 und 850 Euro, hat wahlweise Mobilfunk eingebaut und ist vom 20. September im Handel. Die Gehäuse bestehen aus Aluminium oder Titan, es gibt eine kleine und eine große Modellvariante.

Die Apple Watch 10 hat wieder verschiedene Bänder. Hersteller

Die wichtigste Neuerung ist die Erkennung von Schlafapnoe. Bei dieser Atemstörung kommt es wiederholt zur Verringerung oder dem kompletten Aussetzen der Atmung. Solche Atempausen können mehrere hundert Mal pro Nacht auftreten und minutenlang andauern. In der Folge kommt es zu einem Abfall der Sauerstoffkonzentration im Blut und einer Minderversorgung der Organe. Die häufigsten Symptome sind Tagesmüdigkeit, ein nicht-erholsamer Schlaf und Abgeschlagenheit. Eine Erkennung von Schlafapnoe beherrschen Geräte anderer Hersteller bereits länger.

Welches Update die Apple Watch Ultra 2 erhält

Die Erkennung der Sauerstoffsättigung des Blutes musste Apple nach Patentstreitigkeiten Anfang des Jahres aus neuen Uhren entfernen. Ob diese Funktion mit den jetzt vorgestellten Produkten wieder zurückkommt, bleibt offen.

Die neue Apple Watch Ultra 2 Hersteller

Das Spitzenmodell des Hauses, die Apple Watch Ultra in der Version 2 wird nicht geändert, allerdings gibt es sie jetzt nicht nur im hellen Titangehäuse, sondern auch in einer schwarzen Farbvariante. Der Preis von 900 Euro bleibt.

Sorgenkind KI

Mit seinen KI-Funktionen läuft Apple anderen Herstellern wie etwa Google oder Samsung hinterher. Dafür sollen sie datensparsamer arbeiten und die Privatsphäre achten. Die im Sommer vorgestellten Funktionen kommen zunächst nur für die englische Sprache. Im Juli hatte Apple zudem angekündigt, bestimmte Funktionen von Apple Intelligence zunächst nicht in der EU zur Verfügung zu stellen. Dahinter steckt die berechtigte Sorge, dass der hier geltende Digital Markets Act dazu führen könnte, dass Apple von der EU gezwungen wird, Dienste und Funktionen zulasten der Sicherheit und des Datenschutzes auch anderen Anbietern zur Verfügung stellen zu müssen.

Die Titanium-Version der neuen Apple Watch 10 Hersteller",German,https://www.faz.net/aktuell/technik-motor/digital/apple-stellt-das-iphone-16-die-apple-watch-series-10-und-die-airpods-4-vor-19973974.html,2.5,"[2.3769294441617483, 2.7051175930637528]",2.5410235186127506,"Share Bookmark PrintApple presented its new iPhone collection with version number 16 and the Apple Watch 10 in California on Monday.
How"
Ungarn: Gratis-Busse nach Brüssel für Migranten,"Ungarn : Gratis-Busse nach Brüssel für Migranten09.09.2024, 20:35 Lesezeit: 2 Min.
Bei einer Pressekonferenz stellt Bence Retvari Busse vor, die Migranten kostenlos nach Brüssel fahren sollen.
AFPVon der serbischen Grenze direkt nach Brüssel: Ungarns Regierung reagiert mit einer Provokation auf die von der EU verhängte Millionenstrafe.
Belgische Politiker sind empört.",,,https://media0.faz.net/ppmedia/aktuell/politik/3140710113/1.9974172/facebook_teaser/bei-einer-pressekonferenz.jpg,"Ungarn : Gratis-Busse nach Brüssel für Migranten

09.09.2024, 20:35 Lesezeit: 2 Min.

Bei einer Pressekonferenz stellt Bence Retvari Busse vor, die Migranten kostenlos nach Brüssel fahren sollen. AFP

Von der serbischen Grenze direkt nach Brüssel: Ungarns Regierung reagiert mit einer Provokation auf die von der EU verhängte Millionenstrafe. Belgische Politiker sind empört.",German,https://www.faz.net/aktuell/politik/ausland/ungarn-gratis-busse-nach-bruessel-fuer-migranten-19974157.html,1.5,"[0.2980214938883017, 2.221187103667019]",1.2596042987776603,"Hungary: Free buses to Brussels for migrants09.09.2024, 20:35 Reading time: 2 min.
At a press conference, Bence Retvari presents buses that Migra"
Wie eine Inderin die Angst vor sexueller Gewalt erlebt,"Sexuelle Gewalt in Indien : Wo Frauen Freiwild sindVon Till Fähnders , Singapur 09.09.2024, 21:36 Lesezeit: 5 Min.
Alle fünfzehn Minuten wird in Indien eine Frau vergewaltigt: Eine Inderin läuft in der Großsstadt Ajmer an einem Mauerbild gegen sexuelle Gewalt vorbei.
AFPWie fast jede Inderin kann auch Nainika Singh von sexuellen Übergriffen erzählen.
Auch nach den jüngsten Protesten fühlt sie sich kein bisschen sicherer.","Till Fähnders, Politischer Korrespondent Für Süd- Und Südostasien Sowie Australien.",,https://media0.faz.net/ppmedia/aktuell/feuilleton/2390554710/1.9967474/facebook_teaser_fplus/alle-fuenfzehn-minuten-wird-in.jpg,"Sexuelle Gewalt in Indien : Wo Frauen Freiwild sind

Von Till Fähnders , Singapur 09.09.2024, 21:36 Lesezeit: 5 Min.

Alle fünfzehn Minuten wird in Indien eine Frau vergewaltigt: Eine Inderin läuft in der Großsstadt Ajmer an einem Mauerbild gegen sexuelle Gewalt vorbei. AFP

Wie fast jede Inderin kann auch Nainika Singh von sexuellen Übergriffen erzählen. Auch nach den jüngsten Protesten fühlt sie sich kein bisschen sicherer.",German,https://www.faz.net/aktuell/politik/ausland/wie-eine-inderin-die-angst-vor-sexueller-gewalt-erlebt-19967475.html,2.0,"[1.5317570388786366, 2.280945776672818]",1.9063514077757275,"Sexual violence in India: Where women are fair gameBy Till Fähnders, Singapore 09.09.2024, 21:36 Reading time: 5 min.
Every fifteen minutes in India"
CDU und CSU rüsten sich mit neuem Gutachten gegen den Haushalt der Ampel,"Die Regierung arbeitet in der Haushaltspolitik mit ungewöhnlich vielen und ungewöhnlich hohen pauschalen Ansätzen.
Was technisch klingt, ist politisch brisant.
Schon einmal kassierte die Ampelkoalition eine krachende Niederlage vor dem Bundesverfassungsgericht, weil sie mit einem Nachtragshaushalt gegen tragende Haushaltsgrundsätze verstoßen hat.","Manfred Schäfers, Wirtschaftskorrespondent In Berlin.",,https://media0.faz.net/ppmedia/aktuell/politik/3571954618/1.9152518/facebook_teaser_fplus/friedrich-merz-und-christian.jpg,"Die Regierung arbeitet in der Haushaltspolitik mit ungewöhnlich vielen und ungewöhnlich hohen pauschalen Ansätzen. Was technisch klingt, ist politisch brisant. Schon einmal kassierte die Ampelkoalition eine krachende Niederlage vor dem Bundesverfassungsgericht, weil sie mit einem Nachtragshaushalt gegen tragende Haushaltsgrundsätze verstoßen hat.",German,https://www.faz.net/aktuell/wirtschaft/cdu-und-csu-ruesten-sich-mit-neuem-gutachten-gegen-den-haushalt-der-ampel-19973430.html,2.0,"[1.2363808401536773, 2.4581714959077936]",1.8472761680307357,"The government is working with an unusually large number of and unusually high lump sums in its budget policy.
What sounds technical is politically"
F.A.Z. Leser helfen,"F.A.Z.-Leser helfen : 527.003,84 Euro für Menschen in NotDank der Spenden der F.A.Z.-Leser erhalten Menschen abermals Hilfe – sowohl in akuten Notlagen als auch dabei, ihre Zukunft in die eigenen Hände zu nehmen.
Die Summe kommt etwa je zur Hälfte der Bahnhofsmission in Frankfurt und World Vision in Kenia zugute.",,,https://www.faz.net/faz-share-logo.jpg,"F.A.Z.-Leser helfen : 527.003,84 Euro für Menschen in Not

Dank der Spenden der F.A.Z.-Leser erhalten Menschen abermals Hilfe – sowohl in akuten Notlagen als auch dabei, ihre Zukunft in die eigenen Hände zu nehmen. Die Summe kommt etwa je zur Hälfte der Bahnhofsmission in Frankfurt und World Vision in Kenia zugute.",German,https://www.faz.net/aktuell/rhein-main/f-a-z-leser-helfen-1/,1.5,"[1.2117973354129021, 1.9803377743118298]",1.596067554862366,"F.A.Z. readers help: 527,003.84 euros for people in needThanks to the donations of F.A.Z. readers, people are once again receiving help – both in acute emergency situations"
Nations League: Frankreich schlägt Tedescos Belgier,"Teilen Merken DruckenDie französische Fußball-Nationalmannschaft hat sich die Chance auf das Erreichen des Viertelfinales der Nations League zurück erkämpft.
Drei Tage nach der 1:3-Niederlage zum Auftakt gegen Italien gewann der EM-Halbfinalist und Vizeweltmeister am zweiten Spieltag mit 2:0 (1:0) gegen Belgien.
Minute) die Gastgeber in Führung, Ousmane Dembélé - ehemals Borussia Dortmund - erzielte nach 57 Minuten den Endstand.
Italien mit zweitem SiegDurch die Niederlage der Belgier steht die italienische Nationalmannschaft nach dem 2:1 (1:0)-Sieg gegen Israel mit der optimalen Punktzahl nun alleine an der Spitze.
Minute der Matchwinner beim 3:0 (2:0)-Erfolg gegen Kasachstan.",,,https://media0.faz.net/ppmedia/aktuell/sport/885084538/1.9974268/facebook_teaser/frankreichs-kolo-muani-laesst.jpg,"Frankreich erhält sich mit einem Sieg über Belgien die Chancen auf das Weiterkommen. Italien besiegt auch Israel. Leipzigs Sesko trifft dreimal für Slowenien, Österreich verliert durch Haalands Tor.

Teilen Merken Drucken

Die französische Fußball-Nationalmannschaft hat sich die Chance auf das Erreichen des Viertelfinales der Nations League zurück erkämpft. Drei Tage nach der 1:3-Niederlage zum Auftakt gegen Italien gewann der EM-Halbfinalist und Vizeweltmeister am zweiten Spieltag mit 2:0 (1:0) gegen Belgien.

In Lyon brachte der ehemalige Frankfurter Kolo Muani (29. Minute) die Gastgeber in Führung, Ousmane Dembélé - ehemals Borussia Dortmund - erzielte nach 57 Minuten den Endstand. Kylian Mbappé wurde erst in der 67. Minute eingewechselt. Der Stürmerstar scheiterte gleich zweimal in aussichtsreicher Position (73. und 77.). Der deutsche Schiedsrichter Tobias Stieler übersah anfangs bei einer Rettungstat gegen Frankreichs Stürmer Kolo Muani ein Handspiel von Kevin De Bruyne (12.).

Italien mit zweitem Sieg

Durch die Niederlage der Belgier steht die italienische Nationalmannschaft nach dem 2:1 (1:0)-Sieg gegen Israel mit der optimalen Punktzahl nun alleine an der Spitze. Eine schwache Anfangsphase in Budapest wäre dem Europameister von 2021 in der 31. Minute durch Israels Manor Solomon fast zum Verhängnis geworden, der das 1:0 verpasste.

Die zuvor mutlose Squadra Azzurra von Cheftrainer Luciano Spalletti kam sieben Minuten später per Brust zum Führungstreffer durch Davide Frattesi. Moise Kean (62.) erhöhte nach Israels Ausgleichschance auf 2:0. Israel gelang nur noch der Anschlusstreffer durch Mohammad Abu Fani (90.).

In der Gruppe 3 der Liga B hat Slowenien die Führung übernommen. Der Leipziger Benjamin Sesko war mit seinen Treffern in der 23., 28. und 63. Minute der Matchwinner beim 3:0 (2:0)-Erfolg gegen Kasachstan.",German,https://www.faz.net/aktuell/sport/fussball/nations-league-frankreich-schlaegt-tedescos-belgier-19974270.html,2.0,"[1.620816933144154, 2.2275098401135076]",1.9241633866288308,Share Bookmark PrintThe French national football team has regained its chance of reaching the quarter-finals of the Nations League.
Asyl-Debatte: Macht Annalena Baerbock Witze?,"Asyldebatte : Macht Baerbock Witze?
Ein Kommentar von Berthold Kohler 09.09.2024, 18:56 Lesezeit: 1 Min.
Haben einen Mordsspaß miteinander: Annalena Baerbock und Robert Habeck am 9.
September in Berlin dpaDie Außenministerin warnt vor einem Alleingang in der Asylpolitik - in der Deutschland auf Betreiben der Grünen jahrzehntelang einen Sonderweg beschritt.",Berthold Kohler,,https://media1.faz.net/ppmedia/aktuell/politik/2146045013/1.9973957/facebook_teaser/haben-einen-mordsspass.jpg,"Asyldebatte : Macht Baerbock Witze?

Ein Kommentar von Berthold Kohler 09.09.2024, 18:56 Lesezeit: 1 Min.

Haben einen Mordsspaß miteinander: Annalena Baerbock und Robert Habeck am 9. September in Berlin dpa

Die Außenministerin warnt vor einem Alleingang in der Asylpolitik - in der Deutschland auf Betreiben der Grünen jahrzehntelang einen Sonderweg beschritt.",German,https://www.faz.net/aktuell/politik/asyl-debatte-macht-annalena-baerbock-witze-19973374.html,1.5,"[0.5699341451387672, 2.0580395129167397]",1.3139868290277534,"Asylum debate: Is Baerbock joking?
A commentary by Berthold Kohler 09.09.2024, 18:56 Reading time: 1 min.
Having a lot of fun together: Annalena B"
Gehirne von Jugendlichen: Wie die Pandemie auf jugendliche Gehirne wirkte,"Die Resultate können unvollständig, veraltet oder sogar falsch sein.
Eine neue Studie zeigt, dass sich das Gehirn von Teenagern während der Pandemie ungewöhnlich veränderte, insbesondere bei Mädchen, deren Großhirnrinde schneller schrumpfte und alterte.
Die Autoren vermuten einen Zusammenhang mit den psychischen Problemen während und nach der Pandemie.
Allerdings gibt es Zweifel an den Ergebnissen, da die Studie methodische Schwächen aufweist und nicht alle Faktoren berücksichtigt.
Es bleibt unklar, ob die Veränderungen im Gehirn tatsächlich mit psychischen Problemen zusammenhängen und welche Faktoren während der Pandemie die Gehirnentwicklung beeinflusst haben könnten.",,2024-09-09 00:00:00,https://img.zeit.de/gesundheit/2024-09/gehirn-jugendliche-studie-forschung-alterung-corona-pandemie-bild/wide__1300x731,"Schließen Artikelzusammenfassung

Dies ist ein experimentelles Tool. Die Resultate können unvollständig, veraltet oder sogar falsch sein.

Eine neue Studie zeigt, dass sich das Gehirn von Teenagern während der Pandemie ungewöhnlich veränderte, insbesondere bei Mädchen, deren Großhirnrinde schneller schrumpfte und alterte. Die Autoren vermuten einen Zusammenhang mit den psychischen Problemen während und nach der Pandemie. Allerdings gibt es Zweifel an den Ergebnissen, da die Studie methodische Schwächen aufweist und nicht alle Faktoren berücksichtigt. Es bleibt unklar, ob die Veränderungen im Gehirn tatsächlich mit psychischen Problemen zusammenhängen und welche Faktoren während der Pandemie die Gehirnentwicklung beeinflusst haben könnten.",German,https://www.zeit.de/gesundheit/2024-09/gehirn-jugendliche-studie-forschung-alterung-corona-pandemie,2.5,"[2.4098917480157547, 2.650180419973742]",2.5300360839947484,"The results may be incomplete, outdated or even wrong.

A new study shows that the brains of teenagers are changing during the pandemic."
